case_id,image_sha256,entity,issue,license,source
of1-0192,916b9bf49b8c40de064d6b61e7783780409424d87138bc3df1e5d6572b436dd8,durian,Anthracnose,Apache-2.0,Kaggle
of1-0193,fde8764366c89a6594ff759f8642aed654d8ca5b707d6983a83578296fd9e4d2,durian,Anthracnose,CC-BY,other
of1-0194,a3c1a8983ec6f4edba13dfdd9dda3bccc76ff53f396906484130a0df009dd7ff,durian,Durian psyllid,CC-BY,Kaggle
of1-0195,4725d3d925524f87f4eafa625f29e8a14f51819d2e945e3c7bcd3e30c46aa2ae,durian,Durian psyllid,CC-BY,Kaggle
of1-0196,3004e654ea714b8535a3bf31243f8584c30aa7d93da291fe4746b61a18eb59eb,durian,Foliar blight - cause unresolved,Apache-2.0,Kaggle
of1-0197,7c7d230d270d587092a757c767292cdfb5668bc81e40d53be53f8a8c385f62ef,durian,Foliar blight - cause unresolved,Apache-2.0,Kaggle
of1-0198,ca70e747ffc0e7d30698620069bed73ed4c58488f14bb1c304009926e4615d29,durian,Fruit rot - mixed causal complex,CC-BY,other
of1-0199,ba8e317719892b5a4333ad3793d50fd6a262ae996566689be9c436e5a02f5590,durian,Fruit rot - mixed causal complex,CC-BY,other
of1-0200,d9f56ae57efed58b277218a11c2d2b4216b27420224b6cd5f4f0e27422a18bc3,durian,Mealybugs,CC-BY,other
of1-0201,66b763fda15dea215089e70949e851da3f21874578bec0a36b9475e04f674175,durian,Mealybugs,CC-BY,other
of1-0202,f51d2ad516d883eff60172e921daa4fc847bc2b2911513727dc151c91733740c,durian,Phomopsis leaf spot,Apache-2.0,Kaggle
of1-0203,27fdcd5fadfb836c0accd0299dbd62d9f1e70376af695934bd3398ca3430acd2,durian,Phomopsis leaf spot,CC-BY,Kaggle
of1-0204,2640a21623b9ab7a487c9c6bddb02d880e04fa5b6431530c1b0e3adc875a9213,durian,Phytophthora patch canker and root-stem rot,CC-BY,other
of1-0205,c5492d1a8a435f1c17f59a3643672ddb4d70598c1c13e5ad147632a60dac0fea,durian,Phytophthora patch canker and root-stem rot,CC-BY,other
of1-0206,6370c739917f3583042151ff1ef320531e050a7c0d804df21b703ca5c85797c5,durian,Pink disease,CC-BY,other
of1-0207,e4df962d690a0de2da2c7c17ae34bdcca9e603234119e2a6de46db20e69bd144,durian,Pink disease,CC-BY,other
of1-0208,908743895c48d9f421f73da501bbc53d70cb1b33c9da611c03f8601d4853b7d2,durian,Rhizoctonia leaf blight,Apache-2.0,Kaggle
of1-0209,83a1dac91a8fbb4486b3aecde2840882953b919a224a7326a8488e4e4de8b18b,durian,Rhizoctonia leaf blight,Apache-2.0,Kaggle
of1-0210,02799d3ad488815cac76284c3a9ead8600d6a4e0e2402802baed77d56e4b4b67,durian,Sooty mold,CC-BY,other
of1-0211,55ac875f588035351522405f24833ade5ff111fc2f0d29bf46a2a70bbd9ba228,durian,Sooty mold,CC-BY,other
of1-0212,0a22b176b06e882cff33c4c2bcef7dd8693a7a31c1bd74c0f8567086706fa5ff,durian,Stem blight - mixed causal complex,CC-BY,other
of1-0213,b518ba860e97a194deb36e28ba78b3231605656fecbc8a311b4cd02cc06316ba,durian,Stem blight - mixed causal complex,CC-BY,other
of1-0214,2184060d5bd19bbfc3b40766cb0c806a3ee20d16aef4b7f1bfe4d61f9af32b2f,durian,Thrips,CC-BY,other
of1-0215,c6e663fe9b7009900c8944552156c388ae0f4ddb6ce15185e1026a264fc91dac,durian,Thrips,CC-BY,other
of1-0216,b3327431b7eb61c2fa2abdc8653c881d4a80a79a53f2f37890781dd5f20284b6,fig,Brown leaf spot syndrome,CC-BY,other
of1-0217,90a0c2fdbfba270c5904381006b500047c02d9f7a20944c443174dfa0129f4c3,fig,Brown leaf spot syndrome,CC-BY,other
of1-0218,d142b9ca5d05bafff63f4ecb55e483e0653092163668dcfe1bfb72e1e913b9a0,fig,Ficus leaf worm damage,CC-BY,other
of1-0219,e60d1b44234c94840ea0f1815843431c8329bb34be644e8b97a7506f28a21948,fig,Ficus leaf worm damage,CC-BY,other
of1-0220,2edcb94244ba3b7f2a5860dd69dc8ec5d6d17ec42dc8fc4392934dc71366b85d,fig,Fig rust,CC-BY,other
of1-0221,c97e54ab5ff6e9ad31e23a866d62d140c747793df4477b250210e70a03e8fc77,fig,Fig rust,CC-BY,other
of1-0222,653de154bf565a6e7e39995b28531fbe1f8aa63f060b137c25971be53860e8d7,fig,Leaf blight syndrome,CC-BY,other
of1-0223,7ffd2a40b1a9e29f09a74cadf19e4064750640fd7c40430672f76c14c3bb0f19,fig,Leaf blight syndrome,CC-BY,other
of1-0224,3605dde66d99f64112ebed5ece937ee09464c7da53c9d8109869605f92af3e74,ginger,Leaf blight syndrome,CC-BY,Roboflow
of1-0225,3cc1491b98174d66083374eb67da2928a85a9a22cd28798dce3ed2a3e7bff324,ginger,Leaf blight syndrome,CC-BY,Roboflow
of1-0228,fd9e963703775ba6110522b2816a3b1eeb19472ffa1fed54bd59c4e950162136,grapes,Bacterial leaf spot,CC-BY,other
of1-0229,cb3a9cc9583fce5126826c16d8c349fe478e803886be63f4a732e0478cdedb17,grapes,Bacterial leaf spot,CC-BY,other
of1-0230,04460113c9d0dceb2175623d11e652f29df8d211bf5a65206ed97810bc691232,grapes,Brown leaf spot syndrome,CC-BY,other
of1-0231,e96a92539a290d79a97def02ca0d9ff3214e35125ad4bac789ffb37ccd547aa6,grapes,Brown leaf spot syndrome,CC-BY,other
of1-0232,6e5e3b109b34ab1dffb1b1648fe82128f75897d27f2fbaa17313dc8733720400,grapes,Grapevine red blotch disease,Apache-2.0,other
of1-0233,7ead415000621e9fbd00684b0cbf66b73cfbfbd551041eebc1615cabceed278d,grapes,Grapevine red blotch disease,Apache-2.0,other
of1-0234,ba044a18705a68b08e750cccd4bf79d0a06067cf6d9cbf6abb6f1491a503cde2,grapes,Lycorma Delicatula,CC0,Kaggle
of1-0235,ab71636f26cf65f910639152c66c26e3e1d82e504acdeaa3cdb16151af29494d,grapes,Lycorma Delicatula,CC0,Kaggle
of1-0236,9a0039681c58fbde2c12e0ba95ec0a7106082582ee84d4c6afdca17e00c005a3,green_gram_moong,Halo blight,CC-BY,Roboflow
of1-0237,c873dce8f2c3ff2458ec8fe626cfb111f96a6a4ea90c288ecb9c9f34f0434a2a,green_gram_moong,Halo blight,CC-BY,Roboflow
of1-0238,905778eaa2301deaf60af6e13b13df796664c4407ef799fa66584032064fa7de,green_gram_moong,Tan spot,CC-BY,Roboflow
of1-0239,92bf50eb9a4191d94e5ce37b6302293ff2f348161811b97c0af5e53594c706ee,green_gram_moong,Tan spot,CC-BY,Roboflow
of1-0240,61e532b93132ab16e0dbc03f4d6faeb94c149413a1553e27da88f23073d3e09f,green_gram_moong,Tobacco streak virus,CC-BY,Roboflow
of1-0241,0eb95208a72259b10b9f0964e4e8ab46be0413d30b2e89864869c96eac7d1ddb,green_gram_moong,Tobacco streak virus,CC-BY,Roboflow
of1-0242,ba1a7a6efe60e76429b6fa930f1a27fc5f110506e4599f5293e93d9d650c16e0,groundnut_peanut,Groundnut Rosette Disease,CC-BY,other
of1-0243,0ade4eb3e4aaf7567eeab038282a73a823953297294c34d3f26e97caad6c7884,groundnut_peanut,Groundnut Rosette Disease,CC-BY,other
of1-0244,c6c4bdb9de4d0ccf39067a44cb56d6a74b0e11d5445bad644d72b0db1a2dc688,guava,Scab,MIT,Kaggle
of1-0245,cbf407e9859c7c6d9276feab9b58ec776a00396b30037be34fbed1df3a5a2a8b,guava,Scab,MIT,Kaggle
of1-0246,d8f23c5cb21e8cebad08e21c32d9deb1a9984b3e5eeb0d017e429a5c50392a74,guava,Stylar end rot,CC-BY,other
of1-0247,00d40bac7d768596bdac579725dca6dbe8fbc2297601d98acddadfd07cba9175,guava,Stylar end rot,CC-BY,other
of1-0248,b1b5f4fdfa212efd9832f5ec1c9c96dee1820c593196f7c6034ddc799ba9f7c0,hog_plum,Anthracnose,CC-BY,other
of1-0249,9b58d42793881c195a65535f5032dec0a9db242d29ebc8b9437fbe5f13b183c1,hog_plum,Anthracnose,CC0,other
of1-0250,6ddf876762c5f2a5c0b4fdc18d496938cbf8614ac800e4ea457a1eaf3f4269b1,hog_plum,Caterpillar leaf damage complex,CC-BY,other
of1-0251,3f9b220908ed34b999371086f30d7f8b44ffb8fe0d7938058b1db35a16d83d8c,hog_plum,Caterpillar leaf damage complex,CC-BY,other
of1-0252,6fcd1f949ea1911be14ca92c0d00535a0ca83a103fa801d8d1d07e18c7563106,jackfruit,Algal leaf spot,CC-BY,other
of1-0253,c024a2b641ac189d1a7db6fbf3a3e1a3080ddd2ad8bd11c8ce2676e175226c03,jackfruit,Algal leaf spot,CC-BY,other
of1-0254,a8acbbea694ebeb4f15d48e4afd99600cec3c3d59810d3ff5a36f7d76eb7d75b,jackfruit,Anthracnose,CC-BY,other
of1-0255,c23244190c4a7912b29ba99e8b8c37acf612faf682dd708be2fc4f5b59a13321,jackfruit,Anthracnose,CC-BY,other
of1-0256,432248f70936bd5592d85d2e7158b336b6e4f0b36b0d59024407a8be9e76d5dd,jackfruit,Leaf spot syndrome,CC-BY,other
of1-0257,2928fc7f2f2b619fb303a05152524d0ae311f50886ff07a0a2dcaab2248939ae,jackfruit,Leaf spot syndrome,CC-BY,other
of1-0258,08d3134d2b9025e9cea3280c49e5b3ff804a9cb1d03ba2f252e087539e49316a,jackfruit,Phyllosticta leaf spot,CC-BY,other
of1-0259,0eef244f3368a40b5ddb3a37248269566d0d1892cab2266c8f1b50b778b4d62e,jackfruit,Phyllosticta leaf spot,CC-BY,other
of1-0260,d7807b903b87618484a6895050b96984935a6850961145e3d2c5004aa27a1e4d,jackfruit,Sooty mold,CC-BY,other
of1-0261,585693c72af91a82c20e7f12664855f681b89cfb5bfe74502441c6b69c3f1c66,jackfruit,Sooty mold,CC-BY,other
of1-0262,fb4d1defb59546a9bf8c17685d7118588da0166f4d175e19b8e32bad8cf5f33d,java_plum_jamun,Bacterial spot,CC-BY,other
of1-0263,83be63cb397be00d6fd946e70a68e45752b0ac0d468003d98585b9e1aaa513f2,java_plum_jamun,Bacterial spot,CC-BY,other
of1-0264,26fd2dc69cbde7e51f281eac55cee3aa6fc6cfe409d05ac945fa1c964bf637b9,java_plum_jamun,Brown blight,CC-BY,other
of1-0265,42245e6ff07d5b936d0c4d5d5a6aea7e8c823fbafde65113e8d3eb800a969369,java_plum_jamun,Brown blight,CC-BY,other
of1-0266,69061ce40882c70dd463922445bd60d354b2ee536b7b7e9a19aecbb0ceae978b,java_plum_jamun,Powdery mildew,CC-BY,other
of1-0267,e09bde4b110bc571a9d8aebc646efb3aa1911d84846df242983bbe093337b95a,java_plum_jamun,Powdery mildew,CC-BY,other
of1-0268,578005033267cc876e9beb6364afa49f2e47ec0fc9cd99bb4d660b22590e68b4,java_plum_jamun,Sooty mold,CC-BY,other
of1-0269,bcc08527b9e019df80235670d8ee1294cbe67cc9753b4936581f31de4bbadeea,java_plum_jamun,Sooty mold,CC-BY,other
of1-0270,cdabd28f2172f55ec133f7a1971fc24d8a31da444da1fb4957bff8f28d237186,jute,Beet armyworm,CC0,Kaggle
of1-0271,6aeaba7fa49060fca5e9f2e66a7fd89d12c205172d971990a93c06a4aa5de04a,jute,Beet armyworm,CC0,Kaggle
of1-0272,db1e63729d43ed1eff81daf77cfcb4246d4db78cf56bde1766ee6ee11655028f,jute,Black hairy caterpillar,CC0,Kaggle
of1-0273,fc79593553e1366ba2fb106195a6181c4625e9d77589d9c9d62fbc2876e6ca11,jute,Black hairy caterpillar,CC0,Kaggle
of1-0274,0ae4864aff3232435f486a3863b4a8679183c38e4a1b7c268a0eab397e953e6e,jute,Cutworm,CC0,Kaggle
of1-0275,81bf941571f07183d73bc5c7e3151cb1fc32af72e8e8441b2294678abb744412,jute,Cutworm,CC0,Kaggle
of1-0276,8e6c42a662b46263e4b4229fb64259c64521318eca9383f07b48c61e86218e26,jute,Field cricket,CC0,Kaggle
of1-0277,09cd477f0ef9d4e2e981e239b4aa58287cb365591c8e937a998a97fcb490b275,jute,Field cricket,CC0,Kaggle
of1-0278,b9a7a6379253abac43e840296890bb94e51b646697ae841a6d3f4906ff1373f1,jute,Jute aphid,CC0,Kaggle
of1-0279,809d156eccc1576444f06f31ae6d834c0930c7bb203828f27bc353afd08b46ab,jute,Jute aphid,CC0,Kaggle
of1-0280,b02cb168cf4052700e2199ad1547ad4c3fd31992da8a6261dbc446d887e240a9,jute,Jute hairy caterpillar,CC0,Kaggle
of1-0281,e30cfb5c3568495208a71704edcd0a9ace0f62a98c73e7d6c829b11949cbe25c,jute,Jute hairy caterpillar,CC0,Kaggle
of1-0282,4eef78df30752a6aae90eaa877b40bfbca6809c8e4603e08f61511aa6efde2db,jute,Jute red mite,CC0,Kaggle
of1-0283,e6c9d3052b35fa0ba41784a848b5bb5d964c41238067459ff0c75860ed9bf8c3,jute,Jute red mite,CC0,Kaggle
of1-0284,7588b90bc09281a50d8328a3d384b082f5e5f42e254d2963f3a7e7692655c236,jute,Jute semilooper,CC0,Kaggle
of1-0285,233ac148ba87a277c2ca6512ee63457f059be7e0bd9887ff7af6076fb66abb33,jute,Jute semilooper,CC0,Kaggle
of1-0286,7f7c98d72d3d4d3bd2e419449922503d4f5365cfa875806970631b1d0209fca6,jute,Jute stem girdler,CC0,Kaggle
of1-0287,65fd381e882998eb6b475d066b0d4ab6b4dca4a55db34aa22fb5141cedeaf39f,jute,Jute stem girdler,CC0,Kaggle
of1-0288,400345363d75905752e81b4de4505cc4479d1a0ae63976b80633e03d675605cc,jute,Jute stem weevil,CC0,Kaggle
of1-0289,ad7d02c91740338cf9391599ced577ae7ac6e68c02085cf684701ae7ee1c3202,jute,Jute stem weevil,CC0,Kaggle
of1-0290,4aaf64502892520fedd212055d9ce80ec9e845e95dbbe39f8aea564a85615932,jute,Leaf beetle,CC0,Kaggle
of1-0291,c6fb0afed20507f7bdcdd5c587a8c944a102ab8faa7308c8489282e6a16a30aa,jute,Leaf beetle,CC0,Kaggle
of1-0292,29cebea96ce441a7b1bf148a3edd31b27db6aaa46b7d5511734e09805fa9ed2d,jute,Mealybug,CC0,Kaggle
of1-0293,4c6430ac86299af7a845935e183be950f76ac57d1bbe921bc353a747758b52c3,jute,Mealybug,CC0,Kaggle
of1-0294,79ba5410be74b8ffa57a83bf798b8aa0605395ccca93ad2ab5321012ea98bd3c,jute,Pod borer,CC0,Kaggle
of1-0295,c6c128bffb3566e4e1b3a1f94419314b8b03827a9416486236479b10bc904b64,jute,Pod borer,CC0,Kaggle
of1-0296,2b903aa5706e45f41fb76a4a1589186f393faac3dfc047f3e41017fb3f6afed2,jute,Scopula emissaria,CC0,Kaggle
of1-0297,9ed85a18251fe2bd1f9185de05dfa909b80c4b845bcb09b4e8d9b0a490a5c186,jute,Scopula emissaria,CC0,Kaggle
of1-0298,6e2a4630614d7e8eba31ac10c7061818c11535f2259b3189be39818ab523bf6a,jute,Termites,CC0,Kaggle
of1-0299,d808b9bf095b914932340a1ed734580d0fa046b47d555dfa603e06d1e493198e,jute,Termites,CC0,Kaggle
of1-0300,486973c9819b8d2cc5d1daa23af3023d029539cccbb095e1c90a17d16315c3c2,jute,Yellow mite,CC0,Kaggle
of1-0301,5a3c285f89ee1af54815412f1ca34ee1c3332bc234fc4c09664706f28b781919,jute,Yellow mite,CC0,Kaggle
of1-0302,d4c4f5d32606b7fb5b5b3276444f951c99f09c9d60eaef466b96debee54916c5,litchi_lychee,Black spot syndrome,CC-BY,other
of1-0303,1cbdcb3e2e0eae7db865f6b3a6fb0ab91f2baa53246957c066ebd838a4953d55,litchi_lychee,Black spot syndrome,CC-BY,other
of1-0304,625664aa5625c8372348654b7d42ea10188d2dcda27603e1dae9baec9b308530,litchi_lychee,Leaf blight complex,CC-BY,other
of1-0305,dd3051835908f80b1c6ece1159c809fafa4901c710f10095c5876016596546c6,litchi_lychee,Leaf blight complex,CC0,other
of1-0306,f50e2d239f336d6cc1bc88173b81c23cdefdba3d14373b0dacf47982f27e8d30,litchi_lychee,Red rust and algal leaf spot syndrome,CC-BY,other
of1-0307,e1adc918cfb90784a7ffa46652a970a1cc31cd05936099cfd377bd77eb0b5574,litchi_lychee,Red rust and algal leaf spot syndrome,CC-BY,other
of1-0308,9c12fda3084c34832a812380fa317c26b660bd484fbcf2f460d1b6aee3f51db4,litchi_lychee,Unspecified chewing insect damage,CC-BY,other
of1-0309,1d4a53ffb76beb366a7b94033eae4d470c6e7e4ab9e4d50bc178e4507778288a,litchi_lychee,Unspecified chewing insect damage,CC-BY,other
of1-0310,7e2d431dbdd77fcb1315f1927d9c3ff7e34271b14d0ed68fc51e49f68ba67204,litchi_lychee,Unspecified pest-associated leaf damage,CC-BY,other
of1-0311,77e2fb8e19a281b78febe476205dddcc9d49b0d1d0c44d3829112c218cf4fc1e,litchi_lychee,Unspecified pest-associated leaf damage,CC-BY,other
of1-0312,0eec410abe1b8a1a95f392df396291eb464ba232b49f29151c3c3c5cc4922145,litchi_lychee,White spot syndrome,CC-BY,other
of1-0313,1f1c7d1661a5a443be4138e986241d15b77c934affdfb367dfa499c5b2c8cb71,litchi_lychee,White spot syndrome,CC-BY,other
of1-0314,f0a52a7584d5f63f6cf3c45d36cece9480f4efcc2f1c5b569ee2bae2af6afd7b,loquat,Leaf spot syndrome,CC-BY,other
of1-0315,a2d8f3983e61ceb8d71f2c7baf1c364a857d41034083dd5c39edf6592b119431,loquat,Leaf spot syndrome,CC-BY,other
of1-0316,6dc1b3f47e243504e64474dc640c5c86af310a90b3f18ffe068312926510c092,maize,Chlorotic leaf spot syndrome,CC-BY,Roboflow
of1-0317,deb857eabb49716743c69084fcfa66a768701a8ce21c72b3b7b884f2909b9215,maize,Chlorotic leaf spot syndrome,CC-BY,Roboflow
of1-0320,94d4cad1f3f750a787a0ced2c8b0852b9a094fdc6071bc62b255e5373a80b77d,maize,Leaf blight syndrome,CC-BY,Roboflow
of1-0321,5708b3161a46c262b56dc997529cec60a732716cf2929cbcd999101b9963b6aa,maize,Leaf blight syndrome,CC-BY,Roboflow
of1-0322,0949c6d4081af552c857119fbd2de8b5bf2c6d7533aa4fc03486d4a99af34337,maize,Leaf streak syndrome,CC-BY,Roboflow
of1-0323,b358ea8e7eb98e3ff009241630893225c4738dcfcef7321edc54257d4be1a725,maize,Leaf streak syndrome,CC-BY,Roboflow
of1-0324,010b5504a4ec44b18f12335b28c21d03f5cf41c4945b4b5ea8b084e833d462ee,maize,Maize leaf beetle,CC0,Kaggle
of1-0325,69eb250eff9efc91cce013ba23f5cf840022c4ea537f1d1ff3b499593299c2da,maize,Maize leaf beetle,CC0,Kaggle
of1-0326,633d7ff2b71d5bd8642c2f6166b23575d856eebd07028b27469f17b23bf46594,maize,Maize stripe disease syndrome,CC-BY,other
of1-0327,a3a1102f33bf44d8252ed34c4b08eff25173c46d1a3d182490afc09d83962492,maize,Maize stripe disease syndrome,CC-BY,other
of1-0328,d5d6c24d27fc3fdc2b4590939f26645dd861e0fc5d8bfea2046802e6a04b9cc3,maize,Rust leaf syndrome,CC-BY,Roboflow
of1-0329,bf45e7779a0b48a06d3ac1e73d9a42b1c813d6193833ee87deca7e6ce440fdc8,maize,Rust leaf syndrome,CC-BY,Roboflow
of1-0330,cfd6d9fe4d67b9b6a9c2a36f962b879b82d897ac3b6c8bc571fcc43a7278707b,maize,Yellow leaf spot syndrome,CC-BY,Roboflow
of1-0331,89071a2ca48286e2d989093a461e1a764472c68212bd9a28926dc0c526ffb4bc,maize,Yellow leaf spot syndrome,CC-BY,Roboflow
of1-0332,3261b926a8dd9bbe2ce2b67a73456c72a9402d4159278dd522527126f5709272,malabar_spinach,Anthracnose,CC-BY,other
of1-0333,1f94974008578fa320b95eed37f5b0d53a2c998d0e3fd47f3b5a7a804643242a,malabar_spinach,Anthracnose,CC-BY,other
of1-0334,341cd06ba7494eab91ca998aa82e2bfdd0fcf78669629c7b146ebcc91d2baa00,malabar_spinach,Bacterial spot,CC-BY,other
of1-0335,93864c58916d8f5a4cc8d1927ef18786d6c4e1a788b4187793541b16e7392141,malabar_spinach,Bacterial spot,CC-BY,other
of1-0336,ec082ed899c0b0cc51e2d77df7a9a09f5981cca0ef49882329336efda1945587,malabar_spinach,Downy mildew,CC-BY,other
of1-0337,851d66b4b13f6338ddec9f147dae41f16c5bd730ef37c49231f3deabb477c5ce,malabar_spinach,Downy mildew,CC-BY,other
of1-0338,cf841f287455f2152011ef4d86335a05ad4f2f4cd428497b3a47f1eaf945342c,malabar_spinach,Unspecified pest damage,CC-BY,other
of1-0339,34802651d44ed8729e5926b9aedb6f5492ff5d694f62cbe588e7b951f85c1765,malabar_spinach,Unspecified pest damage,CC-BY,other
of1-0340,bcd4261d2adb33ddabfa57feaaafce5c81717e36896a0df437a752063cb5e45c,money_plant,Bacterial wilt disease,CC-BY,other
of1-0341,8e38215e0d8f5804fc2f8e95c3a9ba5f66e4a13623a093b2cf0bbb5d2b0148e9,money_plant,Bacterial wilt disease,CC-BY,other
of1-0342,c470aa234c9aa19549f3e380081dd8f8717b4084349e868bcbb97cd95c89a8ef,mulberry,Leaf rust,CC0,Kaggle
of1-0343,824d8880f915b9a8dfd37abc9acc2f46fe1e064f9a0ad577a0f7cc5afb771e35,mulberry,Leaf rust,CC0,Kaggle
of1-0344,94f71fef3d35b9d38cfa8766ade17052429dc8847d6869f5a3cf4ed0dced6c79,mulberry,Leaf spot complex,CC0,Kaggle
of1-0345,bf00157b008de5d70f350760b60dad543414f705c3945bb860050330a75a56fd,mulberry,Leaf spot complex,CC0,Kaggle
of1-0346,b89a3b21c885a67f8ea45adf7772d79b740c909abd58607e823e7f5206a32a47,neem,Powdery mildew,CC-BY,other
of1-0347,b204e95a8680be7abfabac933f6119a50cb9efbd942891b9ff0b1136576f902e,neem,Powdery mildew,CC-BY,other
of1-0348,9165cdffa08c5fbf1faba90ab9f32cee31ca634eb8ffbb31b90026755ec66d40,oil_palm,Basal stem rot,CC-BY,other
of1-0349,ce6a11476d4c1ef760e69cdb2f81e43a01c77b1bff8c6458d37416732fbbbbd5,oil_palm,Basal stem rot,CC-BY,other
of1-0350,6c4f48ac90d8d2c70b54aa81d6d14e4f2aca212df38c8bbf68f9b9d4e3695258,oil_palm,Nettle caterpillar,CC-BY,Kaggle
of1-0351,8e31d5a1ecbf91a10e46e2d0c5b1f4028e93ca7b5f67b36e06e21859e626425b,oil_palm,Nettle caterpillar,CC-BY,Kaggle
of1-0352,2439f214e4d03da476e34545cc2c15d00aa7ea61bbfb65b1aed8b9067d37345c,okra,Downy mildew,CC-BY,Roboflow
of1-0353,44341599ad3bb65a2abaf4c2f6e314124d699c88baa9076d92c9d9c5e97723af,okra,Downy mildew,CC-BY,Roboflow
of1-0354,990b39bb3d4df3167d0a2b4df97f335dbdc12a791d4579b08e0fd39df94857a0,okra,Leaf curl virus disease,CC-BY,other
of1-0355,d8b34d0b21484f5b8bbd72daec7816cf3846d9a3aaba43ee3739db7493a90912,okra,Leaf curl virus disease,CC-BY,other
of1-0356,2df995b1a6b4fec3eee15c44d9b44db35e0b9853405bdad9e791adb622c1ba53,okra,Phyllosticta leaf spot,CC-BY,other
of1-0357,37b2bbf268efae44a02a837971b80a0068c749b4373deb3a8402fd2b94682a0f,okra,Phyllosticta leaf spot,CC-BY,other
of1-0358,799405645ed5dd1518d9a8d165e79bc01d64b6d6fd460be2589607ae91a48ac6,olive,Aculus olearius mite,CC0,Kaggle
of1-0359,9eb09a36f6e321a47b234e66a3e46c8a87e76372d5e233fd7529231d447f469d,olive,Aculus olearius mite,CC0,Kaggle
of1-0360,f6dd9336134eb4efc2041d096900f6c1c8a9ca8e81f01c06653a2dfcb653b4d3,onion,Alternaria Leaf Blight,CC0,Kaggle
of1-0361,2abd5d40199f6092ce405042ce2c1b22dc119c4587dc5ee4f96415dff399f459,onion,Alternaria Leaf Blight,CC0,Kaggle
of1-0362,82a7952f1625e8acd9fad7ad4bec65c3ea96ef4f91ddcb549f340715a8767e6a,onion,Xanthomonas leaf blight,CC-BY,Roboflow
of1-0363,0b54d1749a93779044c96982f67db8773fbf3aecb0241e586fca71e6df028e4a,onion,Xanthomonas leaf blight,CC-BY,Roboflow
of1-0364,688bef69bc5c41d27f3f09911ed9103ac565a6cc12fb5ca454caab99a5be0830,papaya,Bacterial spot,CC-BY,other
of1-0365,48f3f3c6f619d7bf6f2f0a2b957db5efaa26a4185e8966bac6708f1cd22ee7ea,papaya,Bacterial spot,CC-BY,Roboflow
of1-0366,abdf0c1dc36b195c12c807b0f971d556e0383e14eb14ac02bd616112a15b6e48,papaya,Phytophthora Fruit Rot,CC-BY,other
of1-0367,c0257b2df089926d6603c28b7f8ae5cbdef84aeef55c21f7e2519aab62d70a74,papaya,Phytophthora Fruit Rot,CC-BY,other
of1-0368,1b1eb2979200b05fc49ea86a1abcac4f663a49792098aac53e9a6d559996f9e9,pea,Pea Leaf Roll Virus,CC-BY,other
of1-0369,973051bb8b6f5d3ea5c47d777bb2c7121eacd23fb29c40b56593f13eb1f80f25,pea,Pea Leaf Roll Virus,CC-BY,other
of1-0370,4fd0420bd61d7886817bc30a4d3a2585f43e53f16847cb08d109a844f15e54f4,pear,Black leaf spot syndrome,CC-BY,other
of1-0371,4e85e920365ff5050ca67851dcecc92a88224319a9b59256473eb74be5902130,pear,Black leaf spot syndrome,CC-BY,other
of1-0372,34e09f5d92b34a99c8dee22c1f5294c003354ba6cc154efa8a6e977ffa3e1d9b,persimmon,Brown leaf spot syndrome,CC-BY,other
of1-0373,d0e264161ee0bb45880d01807b2ef4a22a737d6af6eb65d27b76c26ddb890bc5,persimmon,Brown leaf spot syndrome,CC-BY,other
of1-0374,be5f9086ab0cc0d9676ce761e8aca610a1e77c834a900dbf0213005e2bf28e9e,pomegranate,Carob Moth,CC-BY,other
of1-0375,b9e48926eb3f293708eb1ec885de4af510e90e2c1182fd05af31b90d0ca05ab7,pomegranate,Carob Moth,CC-BY,other
of1-0376,e4a95cc33ac12d0ec7f6adf8e1c2841a17de59c50cd3a57f66561470a0ef06eb,potato,Brown rot,CC-BY,Kaggle
of1-0377,fefbfde4fc334af42557073b4e3499603561ca151f7c1f401b18aa8742e7d395,potato,Brown rot,CC-BY,Kaggle
of1-0378,02fa9bf2eb6fa1fd8b0a606d27a7b6745b593431202b537451f5fcf577e8e912,potato,Pink rot,CC-BY,Roboflow
of1-0379,051437e9e241f7bc4749d7ad78d9f15f001644bb8a81a5bd80ac569e3558e0cd,potato,Pink rot,CC0,Roboflow
of1-0380,d67b820d53f8c637c265127e7649362c343b58f6d03802604d4fb2b9c4a38f94,potato,Potato leaf roll virus,CC-BY,other
of1-0381,0743f1b4efd6364956a940d9f9deb0770e1e30bfcc9e2211eae57c1e8eb4c514,potato,Potato leaf roll virus,CC-BY,other
of1-0382,1fac2cd4fb2a6098a8820662ef305471cb920526594e319c0a7241372762dbf0,potato,Potato virus X,CC-BY,other
of1-0383,7e7ea7b38eef2aab31b6f7c7b34dc0bde477432443e738ffd9b2198aae2065d9,potato,Potato virus X,CC-BY,other
of1-0384,444455d231a775903758f75c9554f8757c2b742ab0e2e64cd875a818dc3c5671,radish,Black leaf spot,CC-BY,other
of1-0385,694ea8030eced2e7f6b90a5cb10b0384ec4fefeef3a8022be3797210f75bb419,radish,Black leaf spot,CC-BY,other
of1-0386,9cbb69f3618db42dfd49255d428b8e110d23cdb96e5e836b39461b720c5356c3,radish,Downy mildew,CC-BY,other
of1-0387,27bac0ff6e130121a5add503aa1d091dc29de9838fbd6ecaaeda9c20f4cd4f41,radish,Downy mildew,CC-BY,other
of1-0388,2f368fb1a93a229ebe23c7c4d308d18e3c627ddd49b79b6ad1736128bdd2f0f1,radish,Flea beetles,CC-BY,other
